ISBN,Book-Author,Year-Of-Publication
1915,garrison keillor,1988
1916,susan vreeland,2002
1921,federico andahazi,1998
1922,anne mccaffrey,2002
1923,anne mccaffrey,1980
1925,russell martin,2001
1927,alice hoffman,1998
1929,michael crichton,1996
1930,andy meisler,1999
1931,michael chabon,2002
1932,anne mccaffrey,1977
1933,anne mccaffrey,1989
1934,ross king,2000
1935,lois lowry,2002
1936,marc brown,1997
1937,writer's digest books,2000
1940,lois mcmaster bujold,1989
1941,iain pears,1999
1943,jean m. auel,2002
1945,scott turow,2002
1949,robert ludlum,1988
1950,oliver sacks,1987
1951,virginia woolf,1989
1952,carolyn keene,1953
1956,janet fitch,2001
1957,pat rodegast,1987
1958,richard dalby,1990
1962,jonathan kellerman,1992
1963,michael connelly,2003
1964,carl hiaasen,1998
1965,margaret atwood,1989
1966,margaret atwood,1989
1967,stephen king,1999
1969,jonathan kellerman,2003
1970,jonathan kellerman,1993
1971,dav pilkey,1999
1972,clive james,0
1974,patrick suskind,1994
1975,iris johansen,2003
1976,ann rule,2001
1978,minette walters,2002
1979,christopher rice,2000
1980,fannie flagg,2002
1981,v.c. andrews,1998
1982,janet fitch,1999
1983,ann rule,1993
1984,william faulkner,1991
1987,dana stabenow,1992
1988,r.d. lawrence,1991
1989,john updike,1990
1990,lilian jackson braun,1994
1991,lilian jackson braun,1988
1992,lilian jackson braun,1994
1993,agatha christie,1984
1994,tiffanie debartolo,2002
1997,margaret atwood,1996
2002,daniel quinn,1995
2007,jeanette winterson,1994
2009,valerie tripp,1999
2011,dean r. koontz,1996
2013,val mcdermid,2002
2014,stephen king,2000
2015,dean r. koontz,2001
2016,julie garwood,2002
2017,madeleine l'engle,1990
2018,stephen king,1988
2019,ann packer,2003
2020,david baldacci,1999
2022,larry millett,2000
2024,orson scott card,2000
2025,charles de lint,2002
2027,edith wharton,2004
2028,ellen datlow,1995
2030,terri windling,2003
2031,michael moorcock,1986
2032,vikram chandra,1998
2033,chitra banerjee divakaruni,1996
2034,anna sewell,1994
2036,chitra banerjee divakaruni,2002
2037,chitra banerjee divakaruni,2000
2038,bill slavicsek,1994
2041,jean paul sartre,1989
2044,hermann hesse,2002
2049,hermann hesse,1990
2050,louise erdrich,1993
2052,rosalind miles,2000
2053,stanley gordon west,1999
2054,louise erdrich,1998
2056,emily bronte,1989
2057,sarah caudwell,2001
2058,irvine welsh,1995
2059,david baldacci,2001
2060,nelson demille,2002
2062,dianna l. paxson,1989
2063,gail godwin,2000
2067,wilma yeo,1995
2070,catherine coulter,1998
2071,jayne castle,2000
2074,j. d. robb,2001
2075,katy munger,1998
2078,jose luis sampedro,1998
2080,jan karon,1998
2081,jan karon,1997
2082,jan karon,1996
2083,octavia e. butler,1996
2085,george orwell,1990
2086,gloria naylor,1989
2087,mary pipher,1995
2092,sue townsend,1997
2093,mary higgins clark,1999
2094,roddy doyle,2001
2095,ken follett,1996
2099,tracy chevalier,2002
2100,orson scott card,2002
2101,orson scott card,1993
2103,marion zimmer bradley,1987
2104,ray bradbury,1997
2108,janet evanovich,2001
2109,jane green,2001
2111,janet dailey,1991
2112,linda howard,2000
2113,nora roberts,1999
2115,sandra brown,1992
2116,charles dickinson,1986
2118,nora roberts,1992
2119,lee magner,1998
2120,marie ferrarella,2003
2122,kim mckade,2001
2123,nora roberts,1996
2124,j. k. rowling,1999
2125,katherine garbera,2002
2126,donna kauffman,2001
2127,sandra brown,2002
2128,sandra brown,2001
2131,judith bowen,1999
2134,jayne ann krentz,2003
2136,rebecca flanders,1987
2138,curtiss ann matlock,1998
2140,diane farr,2002
2141,anita shreve,2003
2142,robyn carr,2002
2143,margot dalton,1999
2144,janis flores,1995
2145,kate welsh,2002
2150,h. jay riker,2001
2159,noah gordon,2003
2160,jean craighead george,2000
2164,laura lippman,2003
2165,philip roth,1998
2166,william styron,0
2168,roger zelazny,1996
2169,roger zelazny,1977
2170,malcolm hillier,1990
2172,t. pratchett,1997
2174,anne frank,2003
2180,naomi ragen,2001
2182,isabel allende,2002
2183,isabel allende,2001
2187,carolyn g. hart,2002
2188,jack canfield,1999
2192,stephen r. covey,1990
2194,joseph o'connor,2002
2199,tom robbins,1995
2202,leslie glass,1999
2206,tom clancy,1999
2207,stuart woods,2003
2208,arto paasilinna,2001
2209,alessandro baricco,2002
2210,ray bradbury,1987
2211,richard dawkins,1990
2212,orson scott card,1994
2213,brian herbert,2001
2214,frank herbert,1996
2215,frank herbert,1996
2216,frank herbert,1991
2217,frank herbert,1991
2218,anne rice,2003
2220,american psychiatric association,2000
2221,michael crichton,1992
2222,mary higgins clark,1992
2223,michael shaara,1993
2224,stephen king,2004
2225,donna-marie pye,2000
2226,anne rice,1999
2227,robin mckinley,1989
2228,james w. loewen,1996
2229,anna ludlow,2000
2230,robert jordan,1995
2231,robert jordan,1994
2232,robert jordan,1993
2234,robert jordan,2003
2235,robert jordan,2004
2236,robert jordan,1990
2237,sigmund freud,1989
2239,william shakespeare,1993
2240,st. augustine,1960
2242,sun tzu,2003
2243,miyamoto musashi,1992
2245,kenneth kushner,2000
2246,eugen herrigel,1999
2250,sue townsend,0
2252,james moloney,1997
2254,kathleen o'neal gear,1998
2256,sophie schallingher,2001
2257,minette walters,1996
2260,tom clancy,1996
2261,poul anderson,1986
2264,anne tyler,1992
2266,ted conover,2001
2268,mary tatem,2000
2270,mitch albom,1997
2273,george carlin,2001
2274,sarah louise delany,1993
2276,harlan coben,2002
2277,richard marcinko,1993
2279,andrew klavan,1997
2280,brooke siler,2000
2285,lynne truss,2004
2288,david sedaris,1997
2289,bill bryson,1998
2291,whoopi goldberg,1997
2292,drew carey,1997
2293,ha jin,2000
2294,jostein gaarder,0
2295,jon winokur,1992
2296,warren buckland,1998
2298,paul sloane,2002
2299,william safire,1993
2300,william strunk jr.,2000
2303,david m. buss,1995
2304,garrison keillor,2001
2305,david d. burns,1999
2307,roberta allen,2002
2308,esme raji codell,2001
2309,harold r. mcalindon,1999
2310,richard o'connor,1999
2312,john t. walbaum,2003
2313,nina wise,2002
2314,oscar wilde,1998
2316,henry miller,1975
2317,h.c. andersen,1995
2320,warren farrell ph.d.,2000
2321,jane austen,1985
2322,daniel keyes,1984
2323,elizabeth adler,1998
2324,tom holt,2004
2325,barbara w. tuchman,1992
2327,sue townsend,1982
2330,walter mosley,1995
2331,tom clancy,1996
2332,pamela ribon,2003
2333,rodman philbrick,1998
2335,agatha christie,2000
2336,agatha christie,2000
2340,john irving,1979
2341,c. s. lewis,2000
2343,nevada barr,2004
2346,william shakespeare,1993
2351,john le carre,2002
2352,stan berenstain,1989
2353,dean r. koontz,1995
2355,christopher isherwood,1963
2356,viktor e. frankl,1997
2357,amy tan,1993
2359,patricia daniels cornwell,2000
2360,dennis lehane,2002
2361,z. barnes,1998
2364,johanna lindsey,1981
2366,carol adrienne,1995
2367,jean-paul sartre,1964
2370,edward karl wagner,1986
2371,catherine ryan hyde,2000
2379,terry pratchett,1991
2385,john le carre,1999
2386,james finn garner,1997
2388,jonathan kellerman,2003
2389,greg iles,2001
2390,scott adams,2000
2391,scott adams,1996
2393,scott adams,1996
2394,scott adams,1997
2395,jonathan kellerman,2002
2397,james patterson,2003
2398,faye kellerman,1999
2399,roxana ferllini timms,2002
2400,ridley pearson,1996
2402,michael baden,2001
2403,richard bachman,1999
2404,marian keyes,1999
2405,carl hiaasen,2001
2406,douglas preston,1997
2407,mike gayle,2001
2409,lee child,2000
2410,w.r. mitchell,2000
2411,dean koontz,1998
2412,dale brown,2001
2413,ken follett,1989
2414,dale brown,1997
2415,sue grafton,1999
2418,carol o'connell,1997
2419,sue grafton,1987
2420,michael crichton,1988
2421,tom robbins,1990
2422,robert james waller,1993
2423,john grisham,1993
2424,michael crichton,1996
2426,bradley smith,1978
2427,paul monette,1992
2429,richard d. mohr,1992
2430,len richmond,1973
2431,michael bronski,1984
2437,patrick higgins,1994
2441,robert h. hopcke,1993
2443,trevor jacques,1993
2445,david gottlieb,1977
2446,mike hippler,1990
2447,eric e. rofes,1995
2449,paulo coelho,1995
2451,sylvia browne,2000
2452,sylvia browne,2001
2453,sylvia browne,1998
2454,sylvia browne,1999
2455,shirley maclaine,2000
2456,shirley maclaine,1985
2457,shakti gawain,1995
2458,dan millman,2000
2459,richard bach,1995
2460,richard bach,1986
2461,richard bach,1989
2462,richard bach,1989
2463,james redfield,2001
2464,gabrielle roth,1998
2465,helen fielding,2001
2466,oriah mountain dreamer,2000
2467,david buerge,1992
2468,hal zina bennett,1995
2469,geoffrey cornelius,1996
2470,louis chunovic,1993
2471,ellis weiner,1993
2472,louis chunovic,1993
2473,rob morrow,1994
2474,ellis weiner,1992
2475,jon scieszka,1993
2476,ansel e. adams,1981
2480,joyce wilson,1983
2481,bill d. moyers,1996
2483,coleman barks,1997
2486,shakti gawain,2001
2490,p. w. atkins,1994
2494,tim allen,1995
2495,staff of the wall st journal,1997
2496,paul reiser,1997
2497,bruce lansky,1995
2499,carol himsel daly,1995
2500,cynthia copeland lewis,1994
2501,cyndy salzmann,2001
2502,ellen raskin,1997
2503,anne rice,1993
2504,anne rice,1993
2505,james herriot,1982
2506,sue grafton,2001
2508,d.f. shriver,1994
2509,jacqueline carey,2004
2510,"debra k."","" dr. shatoff",1998
2511,christopher j.  cramer,2002
2512,jacqueline carey,2003
2513,jane hamilton,1990
2520,susanna moore,1999
2521,nick hornby,2002
2523,sark,1997
2524,marianne williamson,1997
2525,katie roiphe,1993
2527,bret easton ellis,1995
2529,john grisham,1995
2531,alice walker,1985
2532,danielle steel,1999
2534,jay mcinerney,1988
2540,susan meier,2003
2543,lucy monroe,2003
2545,shirlee busbee,1993
2546,agatha christie,1978
2547,agatha christie,1984
2550,agatha christie,1989
2552,agatha christie,1989
2553,emma darcy,2003
2554,mark twain,1987
2555,helen brooks,2003
2556,mary jo putney,1998
2557,johanna lindsey,1985
2560,hermann hesse,1984
2562,eduardo mendoza,1995
2563,dan brown,2003
2570,katherine neville,1998
2572,katherine neville,1991
2579,nicholas sparks,1998
2580,nora roberts,1992
2581,lavyrle spencer,1979
2582,brian jacques,1998
2583,judith kelman,1993
2584,terri windling,1997
2585,john jakes,1983
2586,jude deveraux,1991
2587,alice leccese powers,1997
2588,tanith lee,2001
2590,olive ann burns,1992
2591,jack mcdevitt,1996
2593,tess gerritsen,1999
2594,frederick forsyth,1983
2595,james lee burke,1996
2596,mark frost,1994
2599,ruth prawer jhabvala,1987
2602,ted anton,2001
2607,david weber,1993
2609,david weber,1994
2611,david weber,1998
2612,terry pratchett,1992
2613,leo marks,2000
2614,sylvia nasar,2001
2616,mary higgins clark,1999
2618,azar nafisi,2003
2619,tony horwitz,2003
2620,leif enger,2002
2621,betty j. eadie,1994
2622,tami hoag,1993
2624,terry brooks,1990
2625,terry brooks,1990
2626,terry brooks,1989
2627,diana palmer,2002
2628,h. g. wells,1995
2629,h. g. wells,1992
2633,k. a. applegate,1996
2636,lynn beach,1991
2637,adele faber,1991
2642,donald f glut,1980
2644,earthworks group,1989
2645,cindy ross,1993
2649,judy blume,1989
2650,lilian jackson braun,2003
2651,lilian jackson braun,1999
2652,r.l. stine,1997
2653,r.l. stine,1992
2654,r.l. stine,1996
2655,terry brooks,1993
2658,marilyn kaye,1999
2659,katherine applegate,1997
2660,k. a. applegate,1996
2661,k. a. applegate,1996
2662,gordon korman,2001
2663,ann m. martin,1992
2666,carolyn g. hart,1999
2667,carolyn g. hart,1996
2668,nora roberts,2000
2669,robert james waller,2002
2671,stephanie laurens,2001
2672,elaine coffman,2001
2673,jane feather,2003
2674,gaelen foley,2003
2675,claire delacroix,2002
2676,elaine coffman,2002
2677,janet dailey,2002
2678,rachel gibson,2003
2679,elizabeth bevarly,2002
2680,rosemary rogers,2001
2681,maureen child,2003
2682,lisa jackson,2003
2683,cassie edwards,2003
2684,elaine coffman,2000
2685,leigh greenwood,2002
2686,marsha canham,2003
2691,nan ryan,2003
2692,rebecca brandewyne,2003
2693,cassie edwards,2003
2695,brenda joyce,2003
2697,sandra hill,2003
2698,judith ivory,2002
2699,candice proctor,2002
2700,madeline hunter,2002
2701,linda francis lee,2002
2702,madeline baker,2002
2703,josie litton,2002
2705,sue civil-brown,2002
2706,joann ross,2002
2707,heather graham,2002
2709,patricia rice,2002
2710,claire delacroix,2001
2711,johanna lindsey,2002
2712,cassie edwards,2002
2713,leigh greenwood,2002
2714,melanie george,2002
2715,barbara dawson smith,2001
2716,connie lane,2002
2717,lisa kleypas,2002
2719,peter matthiessen,1996
2720,karen rauch carter,2000
2730,ellis peters,1995
2733,lilian jackson braun,1998
2735,brian jacques,1996
2736,brian jacques,1994
2737,lilian jackson braun,1996
2738,marco palmieri,2002
2741,laura wolf,2002
2742,alan paton,2003
2743,nora roberts,2001
2744,fannie flagg,2003
2745,john steinbeck,2003
2746,nora roberts,2004
2748,tony diterlizzi,2003
2749,fred willard,1997
2756,catherine ryan hyde,2000
2757,donna tartt,1995
2759,alice hoffman,1999
2760,dorothy allison,1993
2761,nora roberts,2002
2762,j.r.r. tolkien,1999
2763,bruce sterling,1999
2764,wen spencer,2001
2766,scott adams,1996
2768,morgan llywelyn,1992
2769,elizabeth moon,1992
2770,william gibson,1987
2771,bruce sterling,1999
2772,holcomb,1995
2774,bruce sterling,1996
2775,c.s. friedman,1994
2776,william gibson,1992
2777,bruce sterling,1997
2778,starhawk,1994
2779,michael moore,2002
2780,michael moorcock,1984
2781,anne mccaffrey,1996
2783,bonnie poitras tucker,1995
2786,j. k. rowling,1998
2788,ernst friedrich,1987
2789,neal stephenson,1999
2791,sherman wilcox,1989
2792,dan brown,2000
2793,michael moore,2003
2797,tanya huff,1998
2798,douglas monroe,1992
2800,draja mickaharic,1989
2801,robert jordan,2002
2802,teresa edgerton,2001
2804,philip gourevitch,1999
2807,myla goldberg,2001
2810,steve alten,2002
2812,dave barry,1990
2813,smithmark publishing,1992
2814,nalo hopkinson,1998
2815,cynthia voigt,1988
2821,cynthia voigt,1993
2822,cynthia voigt,1990
2823,barbara gowdy,1998
2825,catherine gildiner,1999
2826,emma mclaughlin,2003
2828,dean r. koontz,1996
2831,stella gibbons,1995
2835,matthew pearl,2003
2838,tom robbins,1990
2841,frank mccourt,1996
2842,patricia sprinkle,2002
2843,james patterson,2002
2844,carolyn parkhurst,2003
2845,toni morrison,1987
2847,lyn hamilton,2003
2854,diane carey,1997
2857,robin cook,1998
2858,rita mae brown,1984
2859,bernhard schlink,1999
2860,robert silverberg,1981
2861,john grisham,2003
2862,anne rice,1993
2864,michael jan friedman,1997
2866,david brin,1993
2867,dave barry,1997
2878,james tiptree jr.,1979
2879,denning & phillips,1993
2880,craig junjulas,1985
2881,jan woudhuysen,1980
2882,tad williams,1998
2883,dean r. koontz,1996
2885,dean r. koontz,2002
2887,patricia d. cornwell,1994
2888,stephen king,1988
2889,jasper fforde,2003
2890,roger zelazny,1969
2891,raymond e. feist,1989
2892,mark salzman,2001
2893,ron hansen,1992
2895,patricia daniels cornwell,1995
2896,greg iles,1998
2898,nelson demille,1991
2902,kathleen o'neal gear,2004
2903,cassie edwards,2004
2905,jennifer donnelly,2004
2907,b.j. daniels,2004
2909,karen whiddon,2004
2910,johanna lindsey,1978
2913,maggie shayne,2003
2914,maggie shayne,2004
2915,dean koontz,2003
2916,dean r. koontz,2003
2917,dean r. koontz,1986
2918,dean koontz,1996
2919,dean r. koontz,1995
2923,dean r. koontz,1996
2925,michael cunningham,2002
2927,elizabeth doyle,2001
2929,rebecca brandewyne,1995
2931,heather graham,1990
2932,linda lael miller,1994
2934,terry mcmillan,2002
2935,jane austen,1995
2939,brad thor,2002
2940,dick francis,1997
2943,m. j. rose,2002
2946,amy tan,2001
2949,camara laye,1954
2950,william k. powers,1984
2951,mary baker eddy,1994
2952,karen mccarthy brown,1992
2954,milton murayama,1988
2955,chitra banerjee divakaruni,1998
2957,"robert t."","" ii trotter",1997
2958,ron suskind,1999
2960,roberta uno,1993
2961,luis valdez,1992
2962,laurel thatcher ulrich,1991
2964,amy tan,1995
2965,chris bohjalian,1998
2966,miguel de cervantes saavedra,1990
2967,raymond carver,1989
2968,edmond rostand,1950
2969,truman capote,1994
2970,naomi epel,1994
2971,fyodor dostoyevsky,1991
2972,toni morrison,1987
2973,orson scott card,1986
2979,robert jordan,1991
2980,terry pratchett,2001
2983,charles kuralt,1990
2984,cleveland amory,1993
2986,dean r. koontz,1993
2990,jane mendelsohn,2001
2992,ayn rand,1996
2994,richard paul evans,1999
2995,aiden w. tozer,1982
2996,pearl s. buck,1994
2997,lois lowry,1990
2998,richard peck,1998
2999,wally lamb,1999
3000,hannah hurnard,1997
3001,t. d. jakes,1994
3002,janet evanovich,2003
3004,caren lissner,2003
3009,donna leon,1995
3010,helen fielding,2000
3014,henning mankell,2000
3015,henning mankell,2001
3017,kate atkinson,1999
3018,judy mercer,1997
3020,sandra brown,1996
3023,richard carlson,1997
3025,kurt vonnegut,1997
3027,jonathan kellerman,2000
3028,faye kellerman,1999
3034,michael jan friedman,1996
3035,lemony snicket,2002
3039,elizabeth george,2003
3041,philip k. dick,2002
3042,larry niven,1990
3050,judy blume,1988
3052,michael cunningham,1996
3053,zadie smith,2003
3055,jack london,0
3060,steve perry,1985
3062,robert n. charrette,1996
3066,robert n. charrette,1996
3069,stephen kenson,1998
3070,michael a. stackpole,1998
3071,lisa smedman,1999
3073,mel odom,1999
3078,stephen kenson,2001
3079,lisa smedman,2001
3082,charles sheffield,1999
3084,vince flynn,1999
3086,susanna kaysen,1994
3087,andrei codrescu,1999
3088,marion zimmer bradley,2003
3089,rebecca reisert,2002
3090,david baldacci,2001
3091,jean dominiqu bauby,0
3092,belva plain,1994
3097,janet evanovich,1999
3098,david anson russo,1991
3101,anne mccaffrey,1993
3102,mary brown,1995
3103,mary brown,1994
3104,piers anthony,1994
3105,charles dickens,1987
3107,sapphire,1997
3110,franziska stalmann,1992
3126,susan meyers,1995
3128,alan garner,1999
3129,alan garner,1999
3132,robert fisher,2000
3133,jane smiley,1991
3136,john katzenbach,2003
3137,lynn kurland,2002
3138,julie garwood,1996
3139,nora roberts,2001
3140,nora roberts,1994
